mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.23114957809448242,0.018317865282326002,1.1375909805297852,0.08489795103068445,8,2,"{'n_neighbors': 8, 'p': 2}",-377.59788842544316,-396.53849496002783,-374.6445973348783,-378.62523174971034,-387.90233198146,-383.061708890304,8.067698867799393,38,-338.4014223226442,-334.2734494945106,-337.13900918255024,-336.09185446961357,-336.2479542031169,-336.4307379344871,1.3555360878289826
0.2340688705444336,0.03715139297481721,1.0381582736968995,0.13833873395322127,9,1,"{'n_neighbors': 9, 'p': 1}",-346.06349206349205,-363.1452258654205,-344.6799021501223,-342.83987382515767,-359.72074159907305,-351.2898471006531,8.414727509309843,2,-316.3031584639301,-311.80725419953717,-315.8754964628031,-315.0794984196873,-310.7136254497937,-313.95580659915026,2.262121538572357
0.22616133689880372,0.03972849387307161,1.0674805641174316,0.07965687605373367,9,2,"{'n_neighbors': 9, 'p': 2}",-376.2041864596609,-395.3688641717839,-373.4003089996138,-377.99432213209735,-388.38058452426935,-382.26965325748506,8.278483179864512,35,-343.8074859425342,-338.3283283283283,-341.8478393810066,-341.0187609833344,-341.10072481959975,-341.22062789096066,1.7610083808520627
0.22928032875061036,0.019450434182974163,1.1168957710266114,0.1465191848691152,10,1,"{'n_neighbors': 10, 'p': 1}",-344.9778009500638,-364.13838489166955,-344.7544959443801,-342.46902665121667,-359.25893395133255,-351.1197284777325,8.818233174686323,1,-320.1539063178935,-314.9195243474986,-318.6973234459185,-319.036692543885,-314.6620966340305,-317.4939086578453,2.260557043660705
0.23561620712280273,0.03266808142052835,1.2406698703765868,0.06880822718753239,10,2,"{'n_neighbors': 10, 'p': 2}",-374.69614181438993,-395.7226856679412,-373.36259559675545,-374.6472537659329,-389.5383198146002,-381.59339933192393,9.233912750889445,33,-346.70697836099765,-342.7943222965731,-345.8037570245061,-345.55665952146455,-344.7469179074214,-345.1217270221926,1.3209578070107646
0.21114349365234375,0.04358474463680248,1.2276610374450683,0.1612515958411995,11,1,"{'n_neighbors': 11, 'p': 1}",-345.29577316438633,-365.0296921245826,-344.5745180659433,-343.3225113241336,-358.64886758664284,-351.3742724531377,8.802339363689207,3,-322.53700119294973,-317.56644045390027,-321.75047005598543,-322.65886838959085,-317.9762970648493,-320.4978154314551,2.251603259824961
0.2384934902191162,0.015103825140411174,1.4162206649780273,0.13687922694950005,11,2,"{'n_neighbors': 11, 'p': 2}",-374.2841027585553,-395.49237947778096,-373.30911197724646,-374.7168334562309,-388.9888549457495,-381.3582565231126,9.131706781794806,31,-349.48043746757577,-345.349779185792,-348.52247578619165,-348.20272974809205,-347.6370088112456,-347.83848619977937,1.3806357102571576
0.21889467239379884,0.027397485157728746,1.1181675434112548,0.07356900011742316,12,1,"{'n_neighbors': 12, 'p': 1}",-344.49461244351755,-367.0705403004673,-344.5249710312862,-343.2218520664349,-357.845751255311,-351.43154541940334,9.475664316929318,4,-324.877598659753,-319.97641773606404,-324.0529010486067,-324.91446517196766,-320.3294565784138,-322.8301678389611,2.21037514004706
0.22820463180541992,0.015205815380166576,1.429144287109375,0.09486924898681601,12,2,"{'n_neighbors': 12, 'p': 2}",-374.417091491909,-396.78535704630593,-373.6814793356508,-373.13292777134035,-389.1937717265353,-381.44212547434825,9.737805421160793,32,-352.79876741693465,-348.71583480586696,-351.74515284939076,-350.59677886565083,-350.8215944421915,-350.9356256760069,1.3551327006285936
0.18930277824401856,0.043682879055652074,0.9161698341369628,0.2950596572190177,13,1,"{'n_neighbors': 13, 'p': 1}",-345.3406326034063,-367.2531572239601,-345.9894286478296,-342.5089134503966,-356.96242980657814,-351.6109123464342,9.242104033905742,5,-327.085695886339,-322.4626191860919,-326.1388256318156,-326.9408515417147,-323.13134322371906,-325.15186709393606,1.9610618209620434
0.23678812980651856,0.07008720109409235,1.3863410949707031,0.125489361587871,13,2,"{'n_neighbors': 13, 'p': 2}",-373.7130914503178,-397.5524540342059,-374.2223014528924,-371.7077457883947,-388.09780729120246,-381.0586800034027,10.096807498645715,29,-354.8356897585194,-350.65526223725584,-353.02084289616874,-353.9550030526799,-353.13162398114025,-353.1196843851529,1.3946842248110656
0.21145119667053222,0.035752188602630214,1.2061832904815675,0.07666173125906386,14,1,"{'n_neighbors': 14, 'p': 1}",-345.97806081069893,-366.6818858930434,-347.2002648568119,-344.19540638967055,-356.95038073166694,-352.2011997363783,8.486159632743217,8,-328.66287601335836,-324.29164235434337,-327.8718374204441,-329.21900941014843,-325.1308130633054,-327.0352356523199,1.9632683500194665
